login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,score
mosh-hamedani,5441280,MDQ6VXNlcjU0NDEyODA=,https://avatars.githubusercontent.com/u/5441280?v=4,,https://api.github.com/users/mosh-hamedani,https://github.com/mosh-hamedani,https://api.github.com/users/mosh-hamedani/followers,https://api.github.com/users/mosh-hamedani/following{/other_user},https://api.github.com/users/mosh-hamedani/gists{/gist_id},https://api.github.com/users/mosh-hamedani/starred{/owner}{/repo},https://api.github.com/users/mosh-hamedani/subscriptions,https://api.github.com/users/mosh-hamedani/orgs,https://api.github.com/users/mosh-hamedani/repos,https://api.github.com/users/mosh-hamedani/events{/privacy},https://api.github.com/users/mosh-hamedani/received_events,User,false,1.0
TheCherno,1475290,MDQ6VXNlcjE0NzUyOTA=,https://avatars.githubusercontent.com/u/1475290?v=4,,https://api.github.com/users/TheCherno,https://github.com/TheCherno,https://api.github.com/users/TheCherno/followers,https://api.github.com/users/TheCherno/following{/other_user},https://api.github.com/users/TheCherno/gists{/gist_id},https://api.github.com/users/TheCherno/starred{/owner}{/repo},https://api.github.com/users/TheCherno/subscriptions,https://api.github.com/users/TheCherno/orgs,https://api.github.com/users/TheCherno/repos,https://api.github.com/users/TheCherno/events{/privacy},https://api.github.com/users/TheCherno/received_events,User,false,1.0
haileys,179065,MDQ6VXNlcjE3OTA2NQ==,https://avatars.githubusercontent.com/u/179065?v=4,,https://api.github.com/users/haileys,https://github.com/haileys,https://api.github.com/users/haileys/followers,https://api.github.com/users/haileys/following{/other_user},https://api.github.com/users/haileys/gists{/gist_id},https://api.github.com/users/haileys/starred{/owner}{/repo},https://api.github.com/users/haileys/subscriptions,https://api.github.com/users/haileys/orgs,https://api.github.com/users/haileys/repos,https://api.github.com/users/haileys/events{/privacy},https://api.github.com/users/haileys/received_events,User,false,1.0
rstacruz,74385,MDQ6VXNlcjc0Mzg1,https://avatars.githubusercontent.com/u/74385?v=4,,https://api.github.com/users/rstacruz,https://github.com/rstacruz,https://api.github.com/users/rstacruz/followers,https://api.github.com/users/rstacruz/following{/other_user},https://api.github.com/users/rstacruz/gists{/gist_id},https://api.github.com/users/rstacruz/starred{/owner}{/repo},https://api.github.com/users/rstacruz/subscriptions,https://api.github.com/users/rstacruz/orgs,https://api.github.com/users/rstacruz/repos,https://api.github.com/users/rstacruz/events{/privacy},https://api.github.com/users/rstacruz/received_events,User,false,1.0
jesseduffield,8456633,MDQ6VXNlcjg0NTY2MzM=,https://avatars.githubusercontent.com/u/8456633?v=4,,https://api.github.com/users/jesseduffield,https://github.com/jesseduffield,https://api.github.com/users/jesseduffield/followers,https://api.github.com/users/jesseduffield/following{/other_user},https://api.github.com/users/jesseduffield/gists{/gist_id},https://api.github.com/users/jesseduffield/starred{/owner}{/repo},https://api.github.com/users/jesseduffield/subscriptions,https://api.github.com/users/jesseduffield/orgs,https://api.github.com/users/jesseduffield/repos,https://api.github.com/users/jesseduffield/events{/privacy},https://api.github.com/users/jesseduffield/received_events,User,false,1.0
basarat,874898,MDQ6VXNlcjg3NDg5OA==,https://avatars.githubusercontent.com/u/874898?v=4,,https://api.github.com/users/basarat,https://github.com/basarat,https://api.github.com/users/basarat/followers,https://api.github.com/users/basarat/following{/other_user},https://api.github.com/users/basarat/gists{/gist_id},https://api.github.com/users/basarat/starred{/owner}{/repo},https://api.github.com/users/basarat/subscriptions,https://api.github.com/users/basarat/orgs,https://api.github.com/users/basarat/repos,https://api.github.com/users/basarat/events{/privacy},https://api.github.com/users/basarat/received_events,User,false,1.0
markdalgleish,696693,MDQ6VXNlcjY5NjY5Mw==,https://avatars.githubusercontent.com/u/696693?v=4,,https://api.github.com/users/markdalgleish,https://github.com/markdalgleish,https://api.github.com/users/markdalgleish/followers,https://api.github.com/users/markdalgleish/following{/other_user},https://api.github.com/users/markdalgleish/gists{/gist_id},https://api.github.com/users/markdalgleish/starred{/owner}{/repo},https://api.github.com/users/markdalgleish/subscriptions,https://api.github.com/users/markdalgleish/orgs,https://api.github.com/users/markdalgleish/repos,https://api.github.com/users/markdalgleish/events{/privacy},https://api.github.com/users/markdalgleish/received_events,User,false,1.0
JakeLin,573856,MDQ6VXNlcjU3Mzg1Ng==,https://avatars.githubusercontent.com/u/573856?v=4,,https://api.github.com/users/JakeLin,https://github.com/JakeLin,https://api.github.com/users/JakeLin/followers,https://api.github.com/users/JakeLin/following{/other_user},https://api.github.com/users/JakeLin/gists{/gist_id},https://api.github.com/users/JakeLin/starred{/owner}{/repo},https://api.github.com/users/JakeLin/subscriptions,https://api.github.com/users/JakeLin/orgs,https://api.github.com/users/JakeLin/repos,https://api.github.com/users/JakeLin/events{/privacy},https://api.github.com/users/JakeLin/received_events,User,false,1.0
binarythistle,815719,MDQ6VXNlcjgxNTcxOQ==,https://avatars.githubusercontent.com/u/815719?v=4,,https://api.github.com/users/binarythistle,https://github.com/binarythistle,https://api.github.com/users/binarythistle/followers,https://api.github.com/users/binarythistle/following{/other_user},https://api.github.com/users/binarythistle/gists{/gist_id},https://api.github.com/users/binarythistle/starred{/owner}{/repo},https://api.github.com/users/binarythistle/subscriptions,https://api.github.com/users/binarythistle/orgs,https://api.github.com/users/binarythistle/repos,https://api.github.com/users/binarythistle/events{/privacy},https://api.github.com/users/binarythistle/received_events,User,false,1.0
radar,2687,MDQ6VXNlcjI2ODc=,https://avatars.githubusercontent.com/u/2687?v=4,,https://api.github.com/users/radar,https://github.com/radar,https://api.github.com/users/radar/followers,https://api.github.com/users/radar/following{/other_user},https://api.github.com/users/radar/gists{/gist_id},https://api.github.com/users/radar/starred{/owner}{/repo},https://api.github.com/users/radar/subscriptions,https://api.github.com/users/radar/orgs,https://api.github.com/users/radar/repos,https://api.github.com/users/radar/events{/privacy},https://api.github.com/users/radar/received_events,User,false,1.0
